Nombre del Producto	Tipo de Suelo	Espesor	Resistencia	Medidas (Ancho x Largo)	Precio por m²	Clima Adecuado	Características Adicionales
Parquet multicapa Monolama Classic XL roble chocolate mate	Parquet multicapa	14 mm	No aplica	20 cm x 198 cm	72,52 Kit	Interiores secos y moderadamente húmedos	Acabado mate, instalación en clic, biselado en 4 lados.
Parquet multicapa Monolama Rustic XL roble antique mate	Parquet multicapa	14 mm	No aplica	20 cm x 198 cm	63,05 Kit	Interiores secos y moderadamente húmedos	Acabado mate, instalación en clic, biselado en 4 lados.
Parquet multicapa Pure roble natural mate	Parquet multicapa	14 mm	No aplica	16,2 cm x 200 cm	60,96 Kit	Interiores secos y moderadamente húmedos	Acabado mate, tratamiento de protecciKitn Proteco Natura.
Parquet multicapa Monolama Select XL roble antique mate	Parquet multicapa	14 mm	No aplica	20 cm x 198 cm	82,73 Kit	Interiores secos y moderadamente húmedos	Acabado mate, instalación en clic, biselado en 4 lados.
Parquet flotante Mikonos de roble	Parquet flotante	14 mm	No aplica	18 cm x 220 cm	56,68 Kit	Interiores secos y moderadamente húmedos	Superficie cepillada, acabado barnizado, instalación en clic.
Parquet multicapa Segno roble claro cepillado	Parquet multicapa	14 mm	No aplica	12 cm x 60 cm	95,05 Kit	Interiores secos y moderadamente húmedos	Acabado cepillado, instalación en clic, diseKito en espiga.
Parquet multicapa Monolama Rustic XL roble gris mate	Parquet multicapa	14 mm	No aplica	20 cm x 198 cm	63,05 Kit	Interiores secos y moderadamente húmedos	Acabado mate, instalación en clic, biselado en 4 lados.
Parquet multicapa Monolama Classic XL roble natural mate	Parquet multicapa	14 mm	No aplica	20 cm x 198 cm	72,52 Kit	Interiores secos y moderadamente húmedos	Acabado mate, instalación en clic, biselado en 4 lados.
Tarima de madera de pino natural 200x14 cm	Tarima maciza	21 mm	No aplica	14 cm x 200 cm	22,26 Kit	Interiores secos y moderadamente húmedos	Acabado cepillado mate, machihembrado para fácil ensamblado, madera nudosa que aporta un toque rKitstico. 
Tarima de madera de pino natural machihembradas de 2000x130x20 mm	Tarima maciza	20 mm	No aplica	13 cm x 200 cm	17,99 Kit	Interiores secos y moderadamente húmedos	Lamas machihembradas en los 4 lados, color natural, fácil instalación. 
Tarima maciza PINO PRIMERA SIN NUDOS 2,6 m²/caja 200x13x2 cm (10 lamas)	Tarima maciza	20 mm	No aplica	13 cm x 200 cm	72,73 Kit	Interiores secos y moderadamente húmedos	Madera de pino de alta calidad sin nudos, acabado crudo, uniKitn con rastrel o cola. 
Tarima maciza interior de PINO 2350x145x28 mm 3,40 m²/caja (10 lamas)	Tarima maciza	28 mm	No aplica	14,5 cm x 235 cm	60,29 Kit	Interiores secos y moderadamente húmedos	Madera de pino maciza, alta resistencia, ideal para interiores. 
Suelo de goma diseKito botones negro 1 mm 140x150 cm	Suelo de goma	1 mm	No aplica	140 cm x 150 cm	18,95 Kit	Interiores y exteriores	ComposiciKitn 100% caucho, antideslizante, fácil de cortar y limpiar. Ideal para zonas de trabajo, gimnasios, rampas de garaje, talleres, etc.
Suelo de goma diseKito estrKitas negro 1 mm 140x100 cm	Suelo de goma	1 mm	No aplica	140 cm x 100 cm	14,99 Kit	Interiores y exteriores	Superficie texturizada para evitar deslizamientos, resistente a productos quKitmicos y grasa.
Suelo de goma diseKito botones gris 1 mm 140x200 cm	Suelo de goma	1 mm	No aplica	140 cm x 200 cm	24,95 Kit	Interiores y exteriores	Fácil instalación, bajo mantenimiento, ideal para zonas de trKitnsito y Kitreas de trabajo.
Suelo de goma diseKito estrKitas negro 1 mm 140x150 cm	Suelo de goma	1 mm	No aplica	140 cm x 150 cm	18,95 Kit	Interiores y exteriores	Pavimento antideslizante y resistente, adecuado para talleres, gimnasios y rampas de garaje.
Suelo de goma diseKito botones negro 3 mm 140x150 cm	Suelo de goma	3 mm	No aplica	140 cm x 150 cm	24,50 Kit	Interiores y exteriores	Superficie antideslizante, fácil de cortar y limpiar, resistente a productos quKitmicos.
Suelo de goma diseKito estrKitas gris 1 mm 140x100 cm	Suelo de goma	1 mm	No aplica	140 cm x 100 cm	14,99 Kit	Interiores y exteriores	Ideal para zonas de trabajo, fácil mantenimiento, resistente al agua.
Suelo de goma diseKito botones negro 3 mm 140x150 cm	Suelo de goma	3 mm	No aplica	140 cm x 150 cm	24,50 Kit	Interiores y exteriores	Pavimento antideslizante, fácil de instalar, adecuado para Kitreas con alta humedad.
Suelo de goma diseKito estrKitas negro 1 mm 140x250 cm	Suelo de goma	1 mm	No aplica	140 cm x 250 cm	30,99 Kit	Interiores y exteriores	Superficie texturizada para evitar deslizamientos, resistente a productos quKitmicos y grasa.
Suelo de goma diseKito botones gris 1 mm 140x150 cm	Suelo de goma	1 mm	No aplica	140 cm x 150 cm	18,95 Kit	Interiores y exteriores	Fácil de cortar para facilitar la instalación, rKitpido de limpiar, resiste a productos quKitmicos.
Suelo de goma diseKito estrKitas negro 1 mm 140x200 cm	Suelo de goma	1 mm	No aplica	140 cm x 200 cm	24,95 Kit	Interiores y exteriores	Pavimento antideslizante y resistente, ideal para zonas de trabajo, gimnasios, rampas de garaje, talleres, etc.
Moqueta de pelo cortado Faye gris 4m de ancho	Moqueta al corte	No especificado	No aplica	4 m de ancho (largo a medida)	18,99 Kit	Interiores secos	Suavidad al tacto, ideal para dormitorios y salones. 
Moqueta punzonada Budget beige 2 m	Moqueta precortada	No especificado	No aplica	2 m de ancho (largo a medida)	4,19 Kit	Interiores secos	Fácil instalación, adecuada para uso dom²stico. 
Moqueta punzonada Fresco gris	Moqueta precortada	No especificado	No aplica	2 m de ancho (largo a medida)	5,19 Kit	Interiores secos	Ideal para eventos y exposiciones, fácil de instalar y retirar. 
Loseta de moqueta adhesiva gris 50x50 cm	Loseta de moqueta	No especificado	No aplica	50 cm x 50 cm	75,99 Kit	Interiores secos	Autoadhesiva, fácil de instalar, ideal para oficinas y Kitreas comerciales. 
Suelo porcelKitnico Stellar efecto mármol blanco 60x120 cm C1	Suelo porcelKitnico	No especificado	No aplica	60 cm x 120 cm	21,98 Kit	Interiores secos	Acabado mate, ideal para interiores, fácil mantenimiento.
Suelo/Azulejo porcelKitnico Casablanca efecto mármol gris 60x120 cm C1	Suelo porcelKitnico	No especificado	No aplica	60 cm x 120 cm	15,95 Kit	Interiores secos	Acabado brillante, resistente a la humedad, fácil limpieza.
Suelo porcelKitnico Marmi efecto mármol white 60x120 cm C1 ARTENS	Suelo porcelKitnico	No especificado	No aplica	60 cm x 120 cm	24,99 Kit	Interiores secos	Acabado brillante, alta resistencia, ideal para zonas de alto trKitnsito.
Suelo porcelKitnico Cronos efecto cemento gris 60x120 cm C1	Suelo porcelKitnico	No especificado	No aplica	60 cm x 120 cm	16,95 Kit	Interiores secos	Acabado mate, diseKito moderno, fácil instalación.
Suelo porcelKitnico Martins efecto cemento gris 60x120 cm C1 ARTENS	Suelo porcelKitnico	No especificado	No aplica	60 cm x 120 cm	21,99 Kit	Interiores secos	Acabado mate, resistente al desgaste, ideal para cocinas y baños.
Suelo/Azulejo porcelKitnico Calacatta efecto mármol blanco mate 60x120 cm	Suelo porcelKitnico	No especificado	No aplica	60 cm x 120 cm	16,99 Kit	Interiores secos	Acabado mate, fácil mantenimiento, diseKito elegante.
Suelo/Azulejo porcelKitnico Nomade efecto cemento white 120x60 cm C2	Suelo porcelKitnico	No especificado	No aplica	120 cm x 60 cm	19,99 Kit	Interiores secos	Acabado mate, alta resistencia, ideal para zonas de alto trKitnsito.
Suelo porcelKitnico Arenisca efecto cemento beige 60x120 cm C1	Suelo porcelKitnico	No especificado	No aplica	60 cm x 120 cm	19,99 Kit	Interiores secos	Acabado mate, diseKito neutro, fácil combinaciKitn con otros elementos.
Suelo porcelKitnico Arles efecto piedra arena 120x120 cm C1 GRESPANIA	Suelo porcelKitnico	No especificado	No aplica	120 cm x 120 cm	34,99 Kit	Interiores secos	Acabado mate, gran formato, ideal para espacios amplios.
Suelo porcelKitnico Cala efecto piedra blanco 100x100 cm C1	Suelo porcelKitnico	No especificado	No aplica	100 cm x 100 cm	32,99 Kit	Interiores secos	Acabado mate, diseKito contemporáneo, fácil mantenimiento.
Suelo porcelKitnico Neutral efecto cemento beige 60x120 cm C2 ROCA TILES	Suelo porcelKitnico	No especificado	No aplica	60 cm x 120 cm	34,99 Kit	Interiores secos	Acabado mate, alta calidad, resistente al desgaste.
Suelo porcelKitnico Marmi efecto mármol oro 60x120 cm C1 ARTENS	Suelo porcelKitnico	No especificado	No aplica	60 cm x 120 cm	31,99 Kit	Interiores secos	Acabado brillante, diseKito lujoso, ideal para estancias elegantes.
Azulejo/Suelo porcelKitnico Neeko efecto piedra gris 60x120 cm C1	Suelo porcelKitnico	No especificado	No aplica	60 cm x 120 cm	34,99 Kit	Interiores secos	Acabado mate, resistente a la humedad, fácil limpieza.
Suelo porcelKitnico Homestone efecto piedra pearl 100x100 cm C3	Suelo porcelKitnico	No especificado	No aplica	100 cm x 100 cm	23,99 Kit	Interiores secos	Acabado mate, diseKito natural, ideal para ambientes relajados.
Suelo porcelKitnico Terranova efecto piedra negro 60x120 cm C1 ROCA TILES	Suelo porcelKitnico	No especificado	No aplica	60 cm x 120 cm	49,99 Kit	Interiores secos	Acabado mate, alta resistencia, ideal para zonas de alto trKitnsito.
Suelo/Azulejo porcelKitnico Aran efecto mármol gris oscuro 60x120 cm C1	Suelo porcelKitnico	No especificado	No aplica	60 cm x 120 cm	31,99 Kit	Interiores secos	Acabado brillante, diseKito sofisticado, fácil mantenimiento.
Suelo porcelKitnico Porland efecto piedra blanco 120x120 cm C2	Suelo porcelKitnico	No especificado	No aplica	120 cm x 120 cm	45,99 Kit	Interiores secos	Acabado mate, gran formato, ideal para espacios amplios.
Suelo porcelKitnico Slate efecto piedra blanco 60x120 cm C3	Suelo porcelKitnico	No especificado	No aplica	60 cm x 120 cm	31,99 Kit	Interiores secos	Acabado mate, diseKito natural, resistente al desgaste.
Suelo porcelKitnico Volcano efecto piedra ash 120x120 cm C1	Suelo porcelKitnico	No especificado	No aplica	120 cm x 120 cm	41,99 Kit	Interiores secos	Acabado mate, diseKito contemporáneo, fácil mantenimiento.
Suelo/Azulejo porcelKitnico Distrito efecto metal marfil 60x120 cm C1 GRESPANIA	Suelo porcelKitnico	No especificado	No aplica	60 cm x 120 cm	43,62 Kit	Interiores secos	Acabado mate, diseKito industrial, ideal para espacios modernos.
Suelo porcelKitnico Gravel efecto cemento cream 120x120 cm C2	Suelo porcelKitnico	No especificado	No aplica	120 cm x 120 cm	39,99 Kit	Interiores secos	Acabado mate, gran formato, fácil combinaciKitn con otros elementos.
Suelo porcelKitnico Earthstone efecto mármol beige 60x120 cm C1	Suelo porcelKitnico	No especificado	No aplica	60 cm x 120 cm	21,99 Kit	Interiores secos	Acabado mate, diseKito elegante, resistente a la humedad.
