id,categoria,nombre,marca,descripcion,unidad_medida,precio_unitario,tipo_suelo,resistencia_climática,facilidad_instalación,mantenimiento_requerido,compatible_calefacción_radiante,cumple_normativa_UE,precio_m2_estimado,recomendado_zonas_húmedas,moneda
87,Cable eléctrico,ConstructTech Cable eléctrico,ConstructTech,ConstructTech - Cable eléctrico durable para construcción profesional,kg,410.99,Parquet,Baja,Fácil,Medio,No,True,8219.8,Sí,EUR
88,Arena,MasterBuild Arena,MasterBuild,MasterBuild - Arena fina para construcción profesional,saco (25 kg),2.5,Vinilo,Media,Fácil,Medio,Sí,True,5.0,No,EUR
89,Varillas,BuildMaster Varillas,BuildMaster,BuildMaster - Varillas alta calidad para construcción profesional,saco,511.83,Laminado,Baja,Fácil,Alto,No,True,255.92,Sí,EUR
90,Impermeabilizantes,MasterBuild Impermeabilizantes,MasterBuild,MasterBuild - Impermeabilizantes alta calidad para construcción profesional,metro lineal,540.07,Piedra Natural,Baja,Media,Bajo,Sí,True,540.07,Sí,EUR
91,Grava,ProConstruct Grava,ProConstruct,ProConstruct - Grava triturada para construcción profesional,saco (25 kg),2.8,Piedra Natural,Media,Media,Bajo,Sí,True,5.6,No,EUR
92,Bloques,MaxiMaterials Bloques,MaxiMaterials,MaxiMaterials - Bloques estructural para construcción profesional,kg,45.67,Parquet,Baja,Fácil,Alto,Sí,True,913.4,Sí,EUR
93,Varillas,BuildMaster Varillas,BuildMaster,BuildMaster - Varillas uso profesional para construcción profesional,metro lineal,513.53,Parquet,Baja,Media,Bajo,Sí,True,513.53,Sí,EUR
94,Madera,Construmax Madera,Construmax,Construmax - Madera alta calidad para construcción profesional,m³,87.84,Vinilo,Media,Compleja,Alto,No,True,87.84,Sí,EUR
95,Impermeabilizantes,MasterBuild Impermeabilizantes,MasterBuild,MasterBuild - Impermeabilizantes alta calidad para construcción profesional,m³,656.81,Piedra Natural,Alta,Media,Medio,Sí,True,656.81,Sí,EUR
96,Bloques,BuildMaster Bloques,BuildMaster,BuildMaster - Bloques estructural para construcción profesional,rollo,679.51,Parquet,Baja,Media,Medio,No,True,679.51,Sí,EUR
97,Clavos,ConstructTech Clavos,ConstructTech,ConstructTech - Clavos uso profesional para construcción profesional,metro lineal,942.86,Piedra Natural,Baja,Compleja,Bajo,No,True,942.86,No,EUR
98,Arena,BuildMaster Arena,BuildMaster,BuildMaster - Arena gruesa para construcción profesional,saco (25 kg),2.5,Mármol,Baja,Compleja,Alto,No,True,5.0,Sí,EUR
99,Cable eléctrico,ProConstruct Cable eléctrico,ProConstruct,ProConstruct - Cable eléctrico durable para construcción profesional,kg,473.09,Vinilo,Media,Media,Alto,No,True,9461.8,No,EUR
100,Madera,MasterBuild Madera,MasterBuild,MasterBuild - Madera alta calidad para construcción profesional,kg,393.56,Mármol,Media,Fácil,Bajo,Sí,True,7871.2,Sí,EUR
101,Varillas,BuildPro Varillas,BuildPro,BuildPro - Varillas durable para construcción profesional,unidad,805.4,Parquet,Media,Media,Alto,No,True,805.4,No,EUR
102,Pintura,EliteTools Pintura,EliteTools,EliteTools - Pintura alta calidad para construcción profesional,unidad,761.98,Cerámica,Baja,Compleja,Medio,No,True,761.98,No,EUR
103,Tubería,BuildMaster Tubería,BuildMaster,BuildMaster - Tubería durable para construcción profesional,m²,881.93,Parquet,Media,Fácil,Alto,Sí,True,881.93,Sí,EUR
104,Ladrillos,EliteTools Ladrillos,EliteTools,EliteTools - Ladrillos térmico para construcción profesional,litro,50.16,Parquet,Alta,Compleja,Bajo,No,True,50.16,No,EUR
105,Pintura,EliteTools Pintura,EliteTools,EliteTools - Pintura uso profesional para construcción profesional,m²,572.58,Mármol,Baja,Media,Medio,No,True,572.58,No,EUR
106,Azulejos,BuildMaster Azulejos,BuildMaster,BuildMaster - Azulejos uso profesional para construcción profesional,unidad,688.82,Mármol,Media,Media,Medio,No,True,688.82,No,EUR
107,Clavos,BuildMaster Clavos,BuildMaster,BuildMaster - Clavos resistente para construcción profesional,kg,86.79,Vinilo,Media,Compleja,Alto,No,True,1735.8,Sí,EUR
108,Tubería,BuildMaster Tubería,BuildMaster,BuildMaster - Tubería uso profesional para construcción profesional,rollo,395.67,Laminado,Alta,Media,Bajo,Sí,True,395.67,Sí,EUR
109,Grava,MaxiMaterials Grava,MaxiMaterials,"MaxiMaterials - Grava 3/4"" para construcción profesional",saco (25 kg),2.8,Piedra Natural,Alta,Fácil,Bajo,No,True,5.6,Sí,EUR
110,Cemento,ConstructTech Cemento,ConstructTech,ConstructTech - Cemento para exteriores para construcción profesional,saco (25 kg),4.5,Laminado,Baja,Media,Medio,No,True,9.0,No,EUR
111,Arena,BuildMaster Arena,BuildMaster,BuildMaster - Arena para concreto para construcción profesional,saco (25 kg),2.5,Laminado,Baja,Fácil,Medio,Sí,True,5.0,No,EUR
112,Bloques,MaxiMaterials Bloques,MaxiMaterials,MaxiMaterials - Bloques decorativo para construcción profesional,rollo,212.09,Vinilo,Media,Compleja,Alto,Sí,True,212.09,No,EUR
113,Tubería,ProConstruct Tubería,ProConstruct,ProConstruct - Tubería alta calidad para construcción profesional,metro lineal,304.75,Parquet,Baja,Media,Medio,No,True,304.75,Sí,EUR
114,Cable eléctrico,MaxiMaterials Cable eléctrico,MaxiMaterials,MaxiMaterials - Cable eléctrico alta calidad para construcción profesional,litro,766.76,Mármol,Media,Fácil,Bajo,No,True,766.76,No,EUR
115,Bloques,BuildMaster Bloques,BuildMaster,BuildMaster - Bloques decorativo para construcción profesional,rollo,264.03,Cerámica,Media,Compleja,Medio,No,True,264.03,No,EUR
116,Grava,HomeBuilder Grava,HomeBuilder,"HomeBuilder - Grava 3/4"" para construcción profesional",saco (25 kg),2.8,Cerámica,Alta,Fácil,Bajo,No,True,5.6,Sí,EUR
117,Azulejos,Construmax Azulejos,Construmax,Construmax - Azulejos uso profesional para construcción profesional,m³,136.6,Laminado,Alta,Compleja,Medio,No,True,136.6,No,EUR
118,Tornillos,MaxiMaterials Tornillos,MaxiMaterials,MaxiMaterials - Tornillos resistente para construcción profesional,rollo,953.0,Vinilo,Baja,Compleja,Bajo,No,True,953.0,No,EUR
119,Tornillos,ConstructTech Tornillos,ConstructTech,ConstructTech - Tornillos alta calidad para construcción profesional,litro,526.39,Mármol,Media,Fácil,Bajo,No,True,526.39,Sí,EUR
120,Grava,MaxiMaterials Grava,MaxiMaterials,MaxiMaterials - Grava triturada para construcción profesional,saco (25 kg),2.8,Piedra Natural,Baja,Media,Bajo,Sí,True,5.6,Sí,EUR
121,Bloques,HomeQuality Bloques,HomeQuality,HomeQuality - Bloques estructural para construcción profesional,rollo,382.42,Laminado,Media,Fácil,Alto,Sí,True,382.42,No,EUR
122,Azulejos,HomeBuilder Azulejos,HomeBuilder,HomeBuilder - Azulejos alta calidad para construcción profesional,m³,97.08,Parquet,Alta,Compleja,Medio,No,True,97.08,Sí,EUR
123,Selladores,ProConstruct Selladores,ProConstruct,ProConstruct - Selladores resistente para construcción profesional,saco,83.53,Mármol,Alta,Compleja,Medio,Sí,True,41.76,Sí,EUR
124,Arena,BuildPro Arena,BuildPro,BuildPro - Arena para concreto para construcción profesional,saco (25 kg),2.5,Mármol,Baja,Media,Bajo,Sí,True,5.0,No,EUR
125,Varillas,EliteTools Varillas,EliteTools,EliteTools - Varillas alta calidad para construcción profesional,kg,183.05,Parquet,Media,Compleja,Medio,No,True,3661.0,No,EUR
126,Cemento,ConstructTech Cemento,ConstructTech,ConstructTech - Cemento para interiores para construcción profesional,saco (25 kg),4.5,Cerámica,Media,Media,Alto,No,True,9.0,No,EUR
127,Tubería,Construmax Tubería,Construmax,Construmax - Tubería alta calidad para construcción profesional,m²,674.94,Laminado,Media,Media,Bajo,No,True,674.94,No,EUR
128,Azulejos,EliteTools Azulejos,EliteTools,EliteTools - Azulejos resistente para construcción profesional,m²,820.8,Laminado,Media,Fácil,Alto,Sí,True,820.8,No,EUR
129,Cemento,BuildPro Cemento,BuildPro,BuildPro - Cemento para exteriores para construcción profesional,saco (25 kg),4.5,Laminado,Media,Media,Medio,No,True,9.0,Sí,EUR
130,Grava,BuildMaster Grava,BuildMaster,"BuildMaster - Grava 3/4"" para construcción profesional",saco (25 kg),2.8,Piedra Natural,Alta,Fácil,Bajo,No,True,5.6,Sí,EUR
131,Clavos,BuildPro Clavos,BuildPro,BuildPro - Clavos uso profesional para construcción profesional,kg,525.09,Parquet,Media,Fácil,Alto,Sí,True,10501.8,No,EUR
132,Azulejos,ProConstruct Azulejos,ProConstruct,ProConstruct - Azulejos resistente para construcción profesional,kg,256.54,Mármol,Alta,Fácil,Bajo,Sí,True,5130.8,Sí,EUR
133,Tornillos,EliteTools Tornillos,EliteTools,EliteTools - Tornillos durable para construcción profesional,unidad,276.35,Cerámica,Media,Fácil,Medio,Sí,True,276.35,No,EUR
134,Azulejos,ConstructTech Azulejos,ConstructTech,ConstructTech - Azulejos durable para construcción profesional,m²,631.02,Piedra Natural,Baja,Compleja,Alto,No,True,631.02,No,EUR
135,Varillas,ConstructTech Varillas,ConstructTech,ConstructTech - Varillas uso profesional para construcción profesional,unidad,71.35,Parquet,Media,Fácil,Alto,No,True,71.35,Sí,EUR
136,Selladores,BuildMaster Selladores,BuildMaster,BuildMaster - Selladores alta calidad para construcción profesional,m³,542.05,Parquet,Baja,Media,Alto,No,True,542.05,No,EUR
137,Tornillos,MasterBuild Tornillos,MasterBuild,MasterBuild - Tornillos resistente para construcción profesional,saco,548.52,Piedra Natural,Alta,Compleja,Alto,Sí,True,274.26,Sí,EUR
138,Azulejos,HomeBuilder Azulejos,HomeBuilder,HomeBuilder - Azulejos alta calidad para construcción profesional,rollo,197.18,Cerámica,Alta,Fácil,Bajo,Sí,True,197.18,Sí,EUR
139,Azulejos,MaxiMaterials Azulejos,MaxiMaterials,MaxiMaterials - Azulejos uso profesional para construcción profesional,kg,711.72,Piedra Natural,Baja,Media,Medio,No,True,14234.4,Sí,EUR
140,Varillas,ProConstruct Varillas,ProConstruct,ProConstruct - Varillas durable para construcción profesional,m³,148.18,Mármol,Alta,Fácil,Bajo,No,True,148.18,Sí,EUR
141,Selladores,HomeQuality Selladores,HomeQuality,HomeQuality - Selladores resistente para construcción profesional,unidad,672.81,Mármol,Baja,Compleja,Bajo,No,True,672.81,No,EUR
142,Ladrillos,ProConstruct Ladrillos,ProConstruct,ProConstruct - Ladrillos refractario para construcción profesional,unidad,23.31,Parquet,Alta,Fácil,Medio,No,True,23.31,Sí,EUR
143,Varillas,MasterBuild Varillas,MasterBuild,MasterBuild - Varillas resistente para construcción profesional,saco,973.3,Piedra Natural,Alta,Compleja,Medio,No,True,486.65,Sí,EUR
144,Ladrillos,Construmax Ladrillos,Construmax,Construmax - Ladrillos refractario para construcción profesional,rollo,298.0,Piedra Natural,Alta,Media,Medio,No,True,298.0,No,EUR
145,Bloques,Construmax Bloques,Construmax,Construmax - Bloques pesado para construcción profesional,m²,965.83,Mármol,Alta,Fácil,Medio,Sí,True,965.83,No,EUR
146,Impermeabilizantes,HomeBuilder Impermeabilizantes,HomeBuilder,HomeBuilder - Impermeabilizantes resistente para construcción profesional,kg,144.94,Parquet,Media,Media,Alto,No,True,2898.8,Sí,EUR
147,Tubería,BuildMaster Tubería,BuildMaster,BuildMaster - Tubería durable para construcción profesional,saco,699.56,Vinilo,Alta,Compleja,Medio,Sí,True,349.78,No,EUR
148,Grava,ProConstruct Grava,ProConstruct,ProConstruct - Grava clasificada para construcción profesional,saco (25 kg),2.8,Mármol,Baja,Fácil,Medio,Sí,True,5.6,Sí,EUR
149,Madera,Construmax Madera,Construmax,Construmax - Madera resistente para construcción profesional,m³,381.72,Parquet,Media,Compleja,Bajo,No,True,381.72,Sí,EUR
